t;Export_Amino_Acids;Export_Nitrates;Export_cytokinins;Unloading_Amino_Acids;Total_Transpiration;Unloading_Sucrose
0;0.00000000;0.00000000;0.00000000;0.00000000;0.00000001;0
1;0.29254225;0.33132263;0.04344563;0.00000000;0.00000319;-453.49534793
2;0.16146738;0.20853632;0.02743010;0.00000000;0.00000319;-284.69088526
3;0.04747367;0.06651163;0.00875257;0.00000000;0.00000319;-185.37436974
4;0.00751966;0.01078747;0.00141422;0.00000000;0.00000319;-130.80729386
5;0.00259388;0.00372920;0.00048652;0.00000000;0.00000935;-95.97320518
6;0.00175827;0.00252573;0.00032802;0.00000000;0.00000628;-71.32966465
7;0.00090032;0.00129124;0.00016699;0.00000000;0.00000319;-53.22731339
8;0.00090978;0.00130183;0.00016771;0.00000000;0.00000319;-39.00017039
9;0.00095121;0.00135767;0.00017427;0.00000000;0.00000330;-28.03337670
10;0.00098083;0.00139617;0.00017861;0.00000000;0.00000337;-18.98463621
11;0.00097088;0.00137807;0.00017575;0.00000000;0.00000331;-11.62281922
12;0.00206408;0.00292073;0.00037139;0.00000000;0.00000697;-6.07227038
13;0.00422646;0.00596389;0.00075629;0.00546474;0.00001414;-1.51275536
14;0.00426243;0.00600261;0.00075935;0.14743085;0.00001414;2.37599685
15;0.00449166;0.00629709;0.00079478;0.27370207;0.00001476;5.86575148
16;0.00584656;0.00814358;0.00102565;0.38470153;0.00001898;9.00961362
17;0.00605021;0.00836315;0.00105125;0.48224891;0.00001939;11.84235566
18;0.00757320;0.01037417;0.00130165;0.57003093;0.00002393;14.44938006
19;0.00790220;0.01072093;0.00134292;0.64781661;0.00002461;16.82366946
20;0.00969171;0.01301052;0.00162718;0.71836628;0.00002972;19.02912361
21;0.00999647;0.01327725;0.00165822;0.79411779;0.00003019;21.36417810
22;0.01728316;0.02269403;0.00283061;0.91598326;0.00005137;25.21987687
23;0.01743591;0.02266896;0.00282476;1.02249453;0.00005110;28.81578615
24;0.01421825;0.01827912;0.00227572;1.11463521;0.00004103;32.05929821
25;0.01950690;0.02473778;0.00307694;1.22925266;0.00005530;36.20010866
26;0.02746836;0.03439209;0.00427486;1.36564407;0.00007658;41.27969192
27;0.01687064;0.02089091;0.00259577;1.45515842;0.00004636;45.04015160
28;0.01030547;0.01255758;0.00155931;1.49603766;0.00002776;47.10542600
29;0.00928391;0.01110342;0.00137764;1.48567044;0.00002444;47.35249771
30;0.00956798;0.01123413;0.00139278;1.44993208;0.00002462;46.65735445
31;0.01555269;0.01794591;0.00222336;1.40193234;0.00003917;45.45672632
32;0.02021751;0.02299495;0.00284765;1.36569754;0.00005001;44.54502490
33;0.02385947;0.02681412;0.00331982;1.30514530;0.00005811;42.77835283
34;0.03004650;0.03343146;0.00413880;1.26217117;0.00007223;41.47305910
35;0.02632955;0.02908021;0.00360071;1.22284151;0.00006265;40.24720386
36;0.01869776;0.02048702;0.00253699;1.18579182;0.00004401;39.08914701
37;0.03369620;0.03655122;0.00452601;1.15300164;0.00007829;38.00278702
38;0.04577686;0.04941688;0.00612155;1.11502983;0.00010560;36.67023086
39;0.03186848;0.03437892;0.00426199;1.07007059;0.00007334;35.00546498
40;0.03786668;0.04065597;0.00504234;1.05998047;0.00008654;34.55556138
41;0.03655904;0.03915139;0.00485877;1.01672087;0.00008319;33.02475441
42;0.02337216;0.02496195;0.00309973;0.97482637;0.00005295;31.54048401
43;0.02642794;0.02803835;0.00348272;0.93923330;0.00005935;30.22418505
44;0.02574648;0.02716735;0.00337581;0.90765384;0.00005739;29.02335926
45;0.13651298;0.14326343;0.01780870;1.06622802;0.00030207;32.79665986
46;0.27752308;0.29978940;0.03739037;1.43711626;0.00063381;44.43146789
47;0.26670324;0.31071093;0.03903689;1.94455221;0.00066266;61.25370172
48;0.41975630;0.52553695;0.06653092;2.77153391;0.00113114;88.19148805
49;0.32105364;0.45958796;0.05895658;3.60284309;0.00100669;115.74156292
50;0.20500270;0.32101626;0.04165872;4.18262028;0.00071377;135.95765224
51;0.15224407;0.24443210;0.03196985;4.47599947;0.00054861;147.13582335
