t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,0.00000000,0.00000000,0.00000000,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03030044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.03617781,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.29254225,0.33132263,0.04344563,1.07609771,0.00000000,0.00017278,NA,0.07588472,0.10812877,NA,NA,NA,0.06220220,0.74146433,1.11036680,NA,0.98149063,NA,NA,14.23618396,0.00000000,-588.93048013,0.27236467,NA,1.89490667,8.59047405,0.00006012,0.03451618,21.81312507,NA,0.00000000,0.00084029,0.00000000,NA,NA,176.28709876,2.15310934,0.24621570
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71887278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.55159126,NA,NA
2,1,MS,roots,0.01827738,0.00000000,0.16146738,0.20853632,0.02743010,1.00376820,0.00000000,0.00017303,NA,0.07029096,0.09573045,NA,NA,NA,0.05633208,0.63117890,1.02699457,NA,0.90955266,NA,NA,14.11027657,0.00000000,-344.52430720,0.24113463,NA,1.75072189,8.59452046,0.00005118,0.03456735,21.81374900,NA,0.00000000,0.00053112,0.00000000,NA,NA,161.57145604,1.83285579,0.22235349
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05964395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.05958929,NA,NA
3,1,MS,roots,0.02073399,0.00000000,0.04747367,0.06651163,0.00875257,1.07286527,0.00000000,0.00017332,NA,0.07503904,0.09810191,NA,NA,NA,0.05795609,0.71601387,1.09452872,NA,0.97080945,NA,NA,14.10075347,0.00000000,-213.83598477,0.24710808,NA,1.72046480,8.61941347,0.00005806,0.03462541,21.95976123,NA,0.00000000,0.00016939,0.00000000,NA,NA,151.01324513,2.07920477,0.23109703
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23334272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.74369383,NA,NA
4,1,MS,roots,0.01962459,0.00000000,0.00751966,0.01078747,0.00141422,1.04510940,0.00000000,0.00017360,NA,0.07316882,0.09226444,NA,NA,NA,0.05595956,0.67770255,1.06555854,NA,0.94607582,NA,NA,14.13022834,0.00000000,-146.09316802,0.23240413,NA,1.73031508,8.65083459,0.00005495,0.03468036,22.14707721,NA,0.00000000,0.00002729,0.00000000,NA,NA,142.95543013,1.96795400,0.22139282
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31159849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46355252,NA,NA
5,1,MS,roots,0.01869444,0.00000000,0.00259388,0.00372920,0.00048652,1.02168005,0.00000000,0.00017386,NA,0.07162488,0.08748971,NA,NA,NA,0.05444111,0.64558123,1.04150205,NA,0.92524643,NA,NA,14.16384125,0.00000000,-104.68984046,0.22037710,NA,1.74523355,8.68250626,0.00005234,0.03473270,22.32966708,NA,0.00000000,0.00000935,0.00000000,NA,NA,136.46414724,1.87467817,0.21355570
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33795728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.78128409,NA,NA
6,1,MS,roots,0.01805577,0.00000000,0.00175827,0.00252573,0.00032802,1.00581913,0.00000000,0.00017411,NA,0.07061665,0.08383171,NA,NA,NA,0.05335082,0.62352593,1.02534890,NA,0.91109379,NA,NA,14.19777448,0.00000000,-76.27303760,0.21116300,NA,1.76111101,8.71388816,0.00005056,0.03478326,22.50435991,NA,0.00000000,0.00000628,0.00000000,NA,NA,131.04977640,1.81063263,0.20779918
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33112644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.72471226,NA,NA
7,1,MS,roots,0.01764195,0.00000000,0.00090032,0.00129124,0.00016699,0.99573315,0.00000000,0.00017436,NA,0.07001760,0.08098025,NA,NA,NA,0.05256991,0.60923526,1.01520896,NA,0.90201892,NA,NA,14.23225818,0.00000000,-55.75211712,0.20398049,NA,1.77795276,8.74515727,0.00004940,0.03483266,22.67310927,NA,0.00000000,0.00000319,0.00000000,NA,NA,126.40763560,1.76913453,0.20356776
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30458329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.81529856,NA,NA
8,1,MS,roots,0.01739345,0.00000000,0.00090978,0.00130183,0.00016771,0.98993242,0.00000000,0.00017460,NA,0.06972035,0.07871536,NA,NA,NA,0.05201743,0.60065366,1.00948765,NA,0.89664940,NA,NA,14.26657807,0.00000000,-39.92155521,0.19827546,NA,1.79487921,8.77627951,0.00004870,0.03488136,22.83605299,NA,0.00000000,0.00000319,0.00000000,NA,NA,122.35222890,1.74421473,0.20045314
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26201325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.34635693,NA,NA
