Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Total root hairs mass (g),Total living root hairs surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Mucilage in the soil (mol of hexose),Cells in the soil (mol of equivalent-hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),Deficit of mucilage in the soil (mol of hexose),Deficit of cells in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Mucilage secreted in the soil (mol of hexose),Cells release in the soil (mol of equivalent-hexose),Total rhizodeposition (mol of hexose),Hexose degraded in the soil (mol of hexose),Mucilage degraded in the soil (mol of hexose),Cells degraded in the soil (mol of equivalent-hexose),Concentration of hexose in the main root tip (mol of hexose per g),Soil temperature (degree Celsius)
0.0,0.0,0.0,1.4791958989867427e-06,0.0,0.0,3.8484510006474965e-05,0.0,0.001,2.1991148575128554e-06,0.0,0.0,3.848451000647497e-09,3.848451000647497e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA
0.041666667,1.8000000143999998e-06,0.0,2.3189338693508987e-05,4.756137867136543e-09,0.0,4.212494088466758e-05,0.0,0.0010131018180219165,2.2279272601852818e-06,0.0,0.0,1.803056784045609e-06,1.366341915305542e-09,0.0,1.1035266297334004e-10,4.476377783928096e-11,3.946539278833648e-11,0.0,5.60483223599027e-13,0.0,0.0,0.0,4.618141200776995e-09,1.379966663595491e-10,5.042170467674576e-07,1.5833627100761574e-09,0.0,0.0,0.0,1.1035266297334004e-10,0.0,4.4763777839280964e-11,3.946539278833648e-11,1.945818336009575e-10,0.0,0.0,0.0,0.0,10
0.083333334,1.8000000143999998e-06,0.0,4.472155514223723e-05,6.454821457708756e-09,2.697178759229579e-11,4.050087152658754e-05,0.0,0.0010177534462034986,2.2381567248310246e-06,0.0,0.0,2.924414359200328e-06,1.3571748083323408e-06,0.0,1.4182295401702058e-10,6.897501652281495e-11,7.895269142542587e-11,0.0,0.0,0.0,0.0,0.0,1.63961029836665e-09,5.907329220556226e-11,-2.957198200124655e-06,1.3572848784905616e-06,0.0,0.0,0.0,3.593759856958712e-11,2.2424964060766684e-13,2.4386828288217585e-11,3.9563949079156185e-11,9.966412629635322e-11,4.243057885298913e-12,1.755896046835894e-13,7.665044206679586e-14,0.0011927696506719467,10
0.125000001,1.8000000143999998e-06,0.0,6.6169860192108e-05,1.0927423505014948e-07,6.199022858156247e-11,5.0323039023937516e-05,0.0,0.0013076180264597558,2.875602229939287e-06,0.0,0.0,3.824944632018121e-06,2.9060226574395264e-06,1.296484040058629e-07,3.5177789217328135e-08,1.701745602955257e-10,1.2811743585787146e-10,0.0,0.0,0.0,0.0,0.0,1.021717412414147e-07,6.476723510260402e-10,9.822167497349978e-06,1.7989394831644136e-06,0.0,0.0,1.296484040058629e-07,3.504165490959861e-08,2.8682023978247996e-13,1.0146810361044602e-10,4.9330765378543886e-11,3.519216695834782e-08,5.4018260477108515e-12,2.6855983773530883e-13,1.6602094609828697e-13,0.006034127342805262,10
0.166666668,1.8000000143999998e-06,0.0,8.766574386984716e-05,2.125296056750722e-07,9.231146645117592e-10,6.150733957910871e-05,0.0,0.0015982362661954171,3.5147051188062124e-06,0.0,0.0,4.935441592736105e-06,3.998465266595527e-06,2.6084664245711976e-07,1.0472806088680023e-07,2.8262285841337843e-10,1.8631348349752735e-10,0.0,0.0,0.0,0.0,0.0,1.0243739184710696e-07,8.179787778157527e-10,1.1184300555171195e-05,1.3790061073640337e-06,0.0,3.3598457749313116e-08,1.6479669620056996e-07,6.970554041757471e-08,1.2817089635640829e-11,1.1324465365902015e-10,5.846877295322042e-11,6.986443675455131e-08,1.4245165846696747e-10,7.963555411674392e-13,2.7272531356452936e-13,0.005847252066799759,10
0.20833333499999998,1.8000000143999998e-06,0.0,0.0001091610625335029,3.159709936917405e-07,2.163235792089712e-09,7.269613223972354e-05,0.0,0.001888971230957404,4.154064699412774e-06,0.0,0.0,6.150945773173633e-06,4.920399879221429e-06,3.349082502458264e-07,1.9177341536198784e-07,4.002067617323935e-10,2.5288096147120074e-10,0.0,0.0,0.0,0.0,0.0,1.024785351947198e-07,9.628528219484959e-10,1.1188792660614831e-05,1.1689916679249444e-06,0.0,7.159957545136329e-08,1.4566118324007e-07,8.726949499784659e-08,1.9102852195614646e-11,1.1884080630681516e-10,6.695975911882627e-11,8.743619271107661e-08,2.0503767046337255e-10,1.2569029878000583e-12,3.9228114515287113e-13,0.007875969057667501,10
0.250000002,1.8000000143999998e-06,0.0,0.00013065598086102213,4.1957731166256504e-07,3.6387631020573546e-09,8.388633849611942e-05,0.0,0.0021797429272714048,4.79350505692111e-06,0.0,0.0,7.417306642326525e-06,5.71682373344971e-06,4.194316924805971e-07,2.9206770400741676e-07,5.213430833356805e-10,3.271542342119899e-10,0.0,0.0,0.0,0.0,0.0,1.0249148236689406e-07,1.1148356039304935e-09,1.1190206256395873e-05,1.0672782904942191e-06,0.0,9.069310736500364e-08,1.752165495997743e-07,1.0056095796361601e-07,2.2990382086424286e-11,1.228519650080021e-10,7.479991156340047e-11,1.0073561945810099e-07,2.436789361006141e-10,1.715643404715096e-12,5.26638822611308e-13,0.01039375294001312,10
0.291666669,1.8000000143999998e-06,0.0,0.00015215050100552294,5.233385880830977e-07,5.357514980742345e-09,9.50767791323432e-05,0.0,0.0024705207138234755,5.432958807562469e-06,0.0,0.0,8.702463432805132e-06,6.494011108446156e-06,4.75383895661716e-07,4.025006227631769e-07,6.448868283055079e-10,4.0847064232338816e-10,0.0,0.0,0.0,0.0,0.0,1.0249362905976546e-07,1.2676473607671394e-09,1.119044063622379e-05,1.0296864478427852e-06,0.0,1.097992335087989e-07,1.6575143668991784e-07,1.1074365653109679e-07,2.7128834093013216e-11,1.2571935533704e-10,8.199050294797086e-11,1.109242375552888e-07,2.836089412437131e-10,2.175610367212714e-12,6.740948365725992e-13,0.013808336154121208,10
0.333333336,1.8000000143999998e-06,0.0,0.00017364462090837464,6.272541807428637e-07,7.322192269282121e-09,0.00010626729624951524,0.0,0.0027613004876932542,6.072416928543728e-06,0.0,0.0,9.992348578954784e-06,7.251772922473119e-06,5.313364812475763e-07,5.22826754732551e-07,7.701271226148989e-10,4.961705742020553e-10,0.0,0.0,0.0,0.0,0.0,1.024943295513899e-07,1.4212631083760738e-09,1.1190517117172033e-05,1.0202297365006971e-06,0.0,1.22722580442147e-07,1.786751660280072e-07,1.2068153120206856e-07,3.142258798266389e-11,1.278765614296242e-10,8.853323480331032e-11,1.2086651841031884e-07,3.2397664471175304e-10,2.6362671202331734e-12,8.333029246431376e-13,0.017182375706146953,10
0.37500000299999997,1.8000000143999998e-06,0.0,0.000195138341187282,7.31322317488071e-07,9.53394941666867e-09,0.00011745778248111392,0.0,0.0030520794590174543,6.711873284635082e-06,0.0,0.0,1.1278103987180658e-05,8.008498849280006e-06,5.872889124055696e-07,6.523750832654059e-07,8.965461853374364e-10,5.895972669844202e-10,0.0,0.0,0.0,0.0,0.0,1.0249404666936579e-07,1.5740900758414732e-09,1.1190486231598678e-05,1.0284892123482515e-06,0.0,1.3564589170735078e-07,1.915983228653442e-07,1.2994867177510727e-07,3.5817275132049274e-11,1.2951628470285152e-10,9.442969491300142e-11,1.3013680047959107e-07,3.645259671201409e-10,3.097221980314104e-12,1.0030021306365126e-12,0.02050270045122101,10
